methodHistories,LOC,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,Churn,MaxChurn,AvgChurn,cond,elseAdded,elseDeleted,bug
0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,73,2,0,0,0,375,375,375,0,0,0,7,0,0,FALSE
1,5,1,5,5,5,0,0,0,5,5,5,0,0,0,FALSE
1,44,1,44,44,44,0,0,0,44,44,44,0,0,0,FALSE
1,5,1,5,5,5,0,0,0,5,5,5,0,0,0,FALSE
0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,143,1,143,139,71,0,0,0,143,139,71,1,0,0,FALSE
0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,5,1,5,5,5,0,0,0,5,5,5,0,0,0,FALSE
0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
1,21,1,0,0,0,4,4,4,0,0,0,0,0,0,FALSE
0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,255,1,255,221,127,0,0,0,255,221,127,2,1,0,FALSE
1,49,1,49,49,49,0,0,0,49,49,49,2,0,0,FALSE
0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
3,47,1,47,44,15,0,0,0,47,44,15,0,0,0,FALSE
1,46,1,46,46,46,0,0,0,46,46,46,2,0,0,FALSE
1,20,1,0,0,0,10,10,10,0,0,0,0,0,0,FALSE
0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
3,11,1,1,1,1,0,0,0,1,1,0,0,0,0,FALSE
1,34,1,34,34,34,0,0,0,34,34,34,2,1,0,FALSE
2,235,1,235,221,117,0,0,0,235,221,117,2,1,0,FALSE
1,67,1,12,12,12,0,0,0,12,12,12,1,0,0,FALSE
2,148,2,13,13,13,0,0,0,13,13,6,0,0,0,TRUE
2,97,1,97,97,97,0,0,0,97,97,48,0,0,0,FALSE
1,77,1,77,77,77,0,0,0,77,77,77,4,1,0,FALSE
0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,43,1,43,43,43,0,0,0,43,43,43,2,1,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
3,79,1,79,71,39,0,0,0,79,71,26,2,0,0,FALSE
0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
