pre,ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC,VG_avg,VG_max,VG_sum,post
0,0,3.5,15,35,7.9,35,79,1.8,5,18,5,5,5,0,8,8,8,1,6,6,6,2,2,2,0.1,1,1,115,2.8,9,28,FALSE
0,0,2.77777777777778,12,25,10.2222222222222,16,92,1.77777777777778,2,16,0,0,0,0,1,1,1,1,1,1,1,8,8,8,3.11111111111111,7,28,145,2.22222222222222,5,20,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,0,0,0,0,0,0,0,0.857142857142857,3,6,14,0,0,0,FALSE
0,0,4.57142857142857,9,32,7,15,49,1.71428571428571,3,12,2,2,2,0,7,7,7,1,0,0,0,0,0,0,1,2,7,72,2.28571428571429,5,16,FALSE
0,0,4,11,24,8.83333333333333,39,53,1.5,2,9,0,0,0,0,1,1,1,1,0,0,0,5,5,5,1,3,6,73,1.83333333333333,4,11,FALSE
0,0,1,1,1,7,7,7,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,2,13,3,3,3,FALSE
1,0,4.66666666666667,19,42,6.77777777777778,16,61,1.44444444444444,2,13,0,0,0,0,9,9,9,1,5,5,5,0,0,0,2.88888888888889,4,26,113,2,4,18,TRUE
0,0,15,24,45,23,30,69,3,4,9,0,0,0,0,3,3,3,1,1,1,1,0,0,0,2,4,6,96,4.66666666666667,7,14,FALSE
0,0,5.33333333333333,10,16,12.6666666666667,29,38,3,6,9,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1,2,3,64,4.33333333333333,9,13,FALSE
0,0,8,18,120,12.7333333333333,29,191,2.13333333333333,4,32,0,0,0,0,15,15,15,1,0,0,0,0,0,0,2,5,30,259,3.13333333333333,10,47,FALSE
3,11,6.54545454545455,19,216,10.4545454545455,38,345,1.78787878787879,4,59,14,14,14,0,32,32,32,1,0,0,0,1,1,1,0.787878787878788,2,26,479,2.3030303030303,9,76,TRUE
0,0,1,1,2,5,8,10,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,26,1,1,2,FALSE
0,0,1.33333333333333,4,8,3.5,11,21,1.16666666666667,2,7,1,2,2,0,3,3,6,1,0,0,0,0,0,0,1,3,6,52,1.33333333333333,3,8,FALSE
