methodHistories,LOC,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,Churn,MaxChurn,AvgChurn,cond,elseAdded,elseDeleted,bug
2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,176,2,16,16,16,52,52,52,0,16,0,0,0,0,FALSE
4,506,2,506,470,253,0,0,0,506,470,126,12,3,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,20,1,20,20,20,0,0,0,20,20,20,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,19,1,19,19,19,0,0,0,19,19,19,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
2,71,2,4,4,4,22,22,22,0,4,0,0,0,0,FALSE
2,129,2,8,8,8,22,22,22,0,8,0,0,0,0,FALSE
0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,50,2,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,48,2,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1,35,2,2,2,2,0,0,0,2,2,2,0,0,0,FALSE
2,45,2,45,37,22,0,0,0,45,37,22,0,0,0,FALSE
2,55,2,2,2,2,22,22,22,0,2,0,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,12,2,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1,39,2,2,2,2,0,0,0,2,2,2,0,0,0,FALSE
2,49,2,0,0,0,15,15,15,0,0,0,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
3,287,2,20,17,10,25,25,25,0,17,0,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,12,2,0,0,0,11,11,11,0,0,0,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,61,1,0,0,0,22,22,22,0,0,0,0,0,0,FALSE
2,103,2,103,101,51,0,0,0,103,101,51,2,0,0,FALSE
1,35,2,2,2,2,0,0,0,2,2,2,0,0,0,FALSE
1,64,2,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,12,2,0,0,0,11,11,11,0,0,0,0,0,0,FALSE
2,86,2,2,2,2,22,22,22,0,2,0,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
2,83,2,6,6,6,15,15,15,0,6,0,0,0,0,FALSE
1,57,2,6,6,6,0,0,0,6,6,6,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,17,1,17,17,17,0,0,0,17,17,17,0,0,0,FALSE
4,66,1,0,0,0,26,15,13,0,0,0,1,0,0,FALSE
